Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,18077.300781,18190.599609,18076.500000,18140.699219,18140.699219,295715600
2017-01-04,18140.699219,18172.400391,18105.199219,18151.300781,18151.300781,289834900
2017-01-05,18151.300781,18344.300781,18151.300781,18308.199219,18308.199219,268659100
2017-01-06,18308.199219,18354.500000,18263.099609,18341.199219,18341.199219,252337400
2017-01-09,18341.199219,18407.099609,18292.300781,18379.599609,18379.599609,314394200
2017-01-10,18379.599609,18428.800781,18362.599609,18413.300781,18413.300781,275568500
2017-01-11,18413.300781,18429.800781,18354.699219,18394.099609,18394.099609,303735400
2017-01-12,18394.099609,18398.099609,18261.000000,18303.500000,18303.500000,306861100
2017-01-13,18303.500000,18371.900391,18303.300781,18371.900391,18371.900391,345042700
2017-01-16,18371.900391,18372.099609,18294.500000,18307.699219,18307.699219,0
2017-01-17,18307.699219,18308.199219,18224.900391,18241.000000,18241.000000,0
2017-01-18,18241.000000,18312.800781,18206.599609,18312.800781,18312.800781,319850700
2017-01-19,18312.800781,18315.800781,18201.300781,18223.699219,18223.699219,272094200
2017-01-20,18223.699219,18245.300781,18142.300781,18150.800781,18150.800781,0
2017-01-23,18150.800781,18154.199219,18079.300781,18116.000000,18116.000000,249571900
2017-01-24,18116.000000,18148.500000,18040.500000,18100.699219,18100.699219,279054800
2017-01-25,18100.699219,18186.599609,18100.699219,18133.400391,18133.400391,326103800
2017-01-26,18133.400391,18191.699219,18132.699219,18142.699219,18142.699219,283899400
2017-01-27,18142.699219,18191.599609,18131.300781,18190.800781,18190.800781,349311000
2017-01-30,18190.800781,18190.800781,18054.599609,18081.800781,18081.800781,298317100
2017-01-31,18081.800781,18208.900391,18069.300781,18147.800781,18147.800781,415434800
2017-02-01,18147.800781,18263.199219,18147.800781,18240.199219,18240.199219,384465800
2017-02-02,18240.199219,18285.099609,18178.099609,18259.199219,18259.199219,336117700
2017-02-03,18259.199219,18425.500000,18258.800781,18411.699219,18411.699219,313353400
2017-02-06,18411.699219,18446.900391,18338.599609,18377.400391,18377.400391,227154100
2017-02-07,18377.400391,18584.400391,18375.800781,18559.699219,18559.699219,309593100
2017-02-08,18559.699219,18665.300781,18550.400391,18606.099609,18606.099609,350876500
2017-02-09,18606.099609,18651.900391,18559.599609,18627.599609,18627.599609,349935700
2017-02-10,18627.599609,18723.599609,18625.400391,18715.400391,18715.400391,343894400
2017-02-13,18715.400391,18776.599609,18714.599609,18758.800781,18758.800781,275940300
2017-02-14,18758.800781,18805.900391,18692.500000,18787.500000,18787.500000,290273100
2017-02-15,18787.500000,18864.199219,18787.500000,18827.199219,18827.199219,305854100
2017-02-16,18827.199219,18841.400391,18686.199219,18705.699219,18705.699219,320358800
2017-02-17,18705.699219,18788.000000,18629.900391,18707.500000,18707.500000,277780800
2017-02-20,18707.500000,18761.000000,18685.099609,18746.199219,18746.199219,223345400
2017-02-21,18746.199219,18780.000000,18710.800781,18772.199219,18772.199219,290362900
2017-02-22,18772.199219,18807.300781,18660.599609,18677.599609,18677.599609,326006800
2017-02-23,18677.599609,18738.599609,18636.099609,18643.500000,18643.500000,332140500
2017-02-24,18643.500000,18658.599609,18528.699219,18588.599609,18588.599609,322211700
2017-02-27,18588.599609,18724.500000,18588.599609,18671.099609,18671.099609,482200400
2017-02-28,18671.099609,18797.300781,18650.199219,18770.699219,18770.699219,367246900
2017-03-01,18770.699219,18983.000000,18745.699219,18983.000000,18983.000000,422808200
2017-03-02,18983.000000,19009.599609,18876.500000,18950.900391,18950.900391,430896600
2017-03-03,18950.900391,18952.000000,18788.500000,18882.900391,18882.900391,336522200
2017-03-06,18882.900391,18902.199219,18842.900391,18881.400391,18881.400391,320557200
2017-03-07,18881.400391,18946.300781,18866.500000,18885.900391,18885.900391,348480100
2017-03-08,18885.900391,18959.099609,18873.699219,18931.099609,18931.099609,369874000
2017-03-09,18931.099609,18938.400391,18813.599609,18891.500000,18891.500000,333074300
2017-03-10,18891.500000,18991.400391,18891.500000,18961.400391,18961.400391,348697000
2017-03-13,18961.400391,19049.000000,18961.400391,19029.199219,19029.199219,350920800
2017-03-14,19029.199219,19053.900391,18926.400391,18951.099609,18951.099609,342502700
2017-03-15,18951.099609,18993.300781,18867.400391,18964.000000,18964.000000,335928300
2017-03-16,18964.000000,19062.800781,18964.000000,19027.000000,19027.000000,381232500
2017-03-17,19027.000000,19094.900391,19001.599609,19094.900391,19094.900391,715023300
2017-03-20,19094.900391,19164.599609,19058.199219,19151.800781,19151.800781,278229000
2017-03-21,19151.800781,19183.900391,18984.400391,18988.000000,18988.000000,295810700
2017-03-22,18988.000000,18988.000000,18739.900391,18832.900391,18832.900391,354901600
2017-03-23,18832.900391,19033.400391,18789.400391,19002.300781,19002.300781,347126300
2017-03-24,19002.300781,19025.599609,18913.000000,18980.400391,18980.400391,309292300
2017-03-27,18980.400391,18980.400391,18857.599609,18900.000000,18900.000000,269768800
2017-03-28,18900.000000,18960.699219,18848.699219,18953.300781,18953.300781,391433200
2017-03-29,18953.300781,18989.300781,18914.300781,18978.699219,18978.699219,385387600
2017-03-30,18978.699219,19016.300781,18950.699219,19011.900391,19011.900391,301336700
2017-03-31,19011.900391,19014.900391,18881.199219,18971.800781,18971.800781,384446000
2017-04-03,18971.800781,19018.099609,18923.599609,18954.199219,18954.199219,300307300
2017-04-04,18954.199219,19038.800781,18951.800781,19020.099609,19020.099609,285034900
2017-04-05,19020.099609,19081.400391,19003.400391,19069.300781,19069.300781,310406300
2017-04-06,19069.300781,19126.099609,18952.599609,19126.099609,19126.099609,309235600
2017-04-07,19126.099609,19229.699219,19073.099609,19229.699219,19229.699219,296410200
2017-04-10,19229.699219,19278.000000,19227.000000,19264.599609,19264.599609,274180500
2017-04-11,19264.599609,19382.300781,19239.500000,19306.500000,19306.500000,311561200
